OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate,Sales,MaskedCreditCardNumber,SalesCategory,AverageOrderValue
HEXHEV,John Doe,+1 990-186-7268,New York,USA,ST026,Phone,5,979.97,1970-01-01,5676 8888 7887 7263,Jul-29,4899.85,xxxx-xxxx-xxxx- 726,High,979.97
JCKRFW,John Doe,+1 659-832-6831,New York,USA,ST154,Headphones,1,218.94,1970-01-01,5676 8888 7887 8526,Jan-23,218.94,xxxx-xxxx-xxxx- 852,Low,218.94
PZXZUL,John Doe,+1 564-127-5258,Houston,USA,ST013,Headphones,4,823.08,1970-01-01,5676 8888 7887 1823,Mar-29,3292.32,xxxx-xxxx-xxxx- 182,High,823.08
QELSGN,John Doe,+1 571-789-2219,Los Angeles,USA,ST029,Tablet,10,572.4,1970-01-01,5676 8888 7887 1242,Nov-23,5724.0,xxxx-xxxx-xxxx- 124,High,572.4
KCFBLY,Alice Smith,+1 631-561-3575,Chicago,UK,ST140,Laptop,6,226.93,1970-01-01,5676 8888 7887 9764,Feb-27,1361.58,xxxx-xxxx-xxxx- 976,Medium,226.92999999999998
DFHWVO,Alice Smith,+1 216-604-4265,Chicago,USA,ST199,Laptop,7,280.32,1970-01-01,5676 8888 7887 2334,Aug-23,1962.24,xxxx-xxxx-xxxx- 233,Medium,280.32
HQVCUP,Alice Smith,+1 931-426-6301,New York,Australia,ST042,Headphones,4,960.57,1970-01-01,5676 8888 7887 6182,Jan-23,3842.28,xxxx-xxxx-xxxx- 618,High,960.57
BVRTFM,Alice Smith,+1 453-576-7373,Chicago,Canada,ST057,Headphones,10,262.33,1970-01-01,5676 8888 7887 5001,Apr-28,2623.2999999999997,xxxx-xxxx-xxxx- 500,High,262.33
VGOCVD,John Doe,+1 762-593-1129,Houston,USA,ST018,Headphones,9,444.57,1970-01-01,5676 8888 7887 3084,Apr-23,4001.13,xxxx-xxxx-xxxx- 308,High,444.57
RFXGBL,Alice Smith,+1 446-304-7582,Chicago,UK,ST040,Phone,2,204.03,1970-01-01,5676 8888 7887 6360,Aug-27,408.06,xxxx-xxxx-xxxx- 636,Low,204.03
OUZPON,Alice Smith,+1 710-553-1473,New York,UK,ST001,Tablet,5,561.28,1970-01-01,5676 8888 7887 7677,Sep-25,2806.3999999999996,xxxx-xxxx-xxxx- 767,High,561.28
COHLOL,Alice Smith,+1 650-277-1089,New York,Canada,ST190,Phone,5,354.64,1970-01-01,5676 8888 7887 9108,Jan-25,1773.1999999999998,xxxx-xxxx-xxxx- 910,Medium,354.64
QFEQWC,Alice Smith,+1 518-371-1312,New York,Australia,ST143,Tablet,10,278.97,1970-01-01,5676 8888 7887 9735,Jun-26,2789.7000000000003,xxxx-xxxx-xxxx- 973,High,278.97
DARJZI,John Doe,+1 243-794-9538,Los Angeles,Australia,ST076,Phone,9,507.96,1970-01-01,5676 8888 7887 9579,Sep-27,4571.639999999999,xxxx-xxxx-xxxx- 957,High,507.9599999999999
